0.493237	4.148493	
0.352896	4.909816	
0.710681	4.118598	
0.341477	4.743037	
0.018052	5.748311	
0.594627	3.189641	
0.095476	4.333458	
0.759194	3.968745	
0.867668	2.381699	
0.906386	3.731923	
0.421878	4.021038	
0.881711	2.904897	
0.501353	4.224758	
0.334920	5.108235	
0.524751	3.857164	
0.670562	3.990022	
0.227725	4.303224	
0.923242	3.340624	
0.854176	2.388868	
0.148785	4.068939	
0.749582	3.352154	
0.775394	3.083727	
0.279151	4.977392	
0.330958	3.739343	
0.585121	3.551694	
0.740796	3.591709	
0.986175	3.166560	
0.013202	5.891370	
0.722085	3.361909	
0.616401	3.185761	
0.518626	3.287329	
0.001850	5.880693	
0.764653	3.412423	
0.915366	3.385550	
0.052976	5.292416	
0.799039	3.779703	
0.405752	3.565343	
0.163831	4.507685	
0.323169	4.427913	
0.204133	4.641784	
0.991296	3.256649	
0.648459	3.387932	
0.163631	4.340468	
0.431530	4.449611	
0.020511	4.358450	
0.483797	4.183974	
0.071649	4.783330	
0.474534	4.016489	
0.516230	3.370618	
0.185954	4.726587	
0.807717	4.047678	
0.281568	4.131193	
0.647476	3.117598	
0.993301	3.107209	
0.648819	3.359878	
0.218273	4.219105	
0.466221	4.352137	
0.769298	3.134578	
0.113229	4.685094	
0.003590	4.304019	
0.108873	4.885480	
0.655884	3.702643	
0.735319	2.888447	
0.679777	3.811255	
0.231161	4.082712	
0.783167	3.994164	
0.849443	3.301632	
0.901043	3.609558	
0.376447	4.020826	
0.439110	4.209505	
0.991070	2.879163	
0.959554	3.287773	
0.304994	4.312630	
0.806014	3.545277	
0.786741	2.853345	
0.095059	4.600268	
0.081513	4.320270	
0.653596	3.328789	
0.461629	4.424853	
0.228233	4.390851	
0.288439	5.154986	
0.876381	3.010536	
0.217521	4.664498	
0.712899	3.239191	
0.116324	4.044127	
0.666317	3.796648	
0.715313	3.635811	
0.951506	3.342757	
0.840002	3.585838	
0.453294	3.673165	
0.918153	3.309750	
0.730503	4.189182	
0.566708	3.130682	
0.424603	3.676080	
0.398675	3.609025	
0.239438	4.684185	
0.597574	2.877354	
0.150272	3.921365	
0.408538	3.601670	
0.583733	3.614475	
